X0,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,T,Y
21.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,27.25
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,22.09
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,22.54
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,23.15
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,23.9
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,24.77
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,25.35
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,26.05
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,26.7
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,27.25
22.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,27.99
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,22.54
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,23.15
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,23.9
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,24.77
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,25.35
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,26.05
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,26.7
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,27.25
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,27.99
22.54,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,28.67
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,23.15
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,23.9
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,24.77
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,25.35
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,26.05
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,26.7
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,27.25
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,27.99
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,28.67
23.15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,29.31
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,23.9
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,24.77
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,25.35
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,26.05
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,26.7
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,27.25
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,27.99
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,28.67
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,29.31
23.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,29.95
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,24.77
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,25.35
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,26.05
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,26.7
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,27.25
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,27.99
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,28.67
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,29.31
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,29.95
24.77,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,30.76
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,25.35
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,26.05
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,26.7
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,27.25
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,27.99
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,28.67
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,29.31
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,29.95
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,30.76
25.35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,31.34
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,26.05
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,26.7
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,27.25
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,27.99
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,28.67
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,29.31
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,29.95
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,30.76
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,31.34
26.05,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,31.95
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,26.7
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,27.25
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,27.99
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,28.67
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,29.31
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,29.95
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,30.76
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,31.34
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,31.95
26.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,32.56
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,27.25
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,27.99
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,28.67
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,29.31
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,29.95
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,30.76
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,31.34
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,31.95
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,32.56
27.25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,33.14
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,27.99
