X0,U1,U2,U3,U4,T,Y
29.31,50.0,50.0,50.0,50.0,2.0,29.95
29.31,50.0,50.0,50.0,50.0,3.0,30.76
29.31,50.0,50.0,50.0,50.0,4.0,31.34
29.95,50.0,50.0,50.0,50.0,1.0,29.95
29.95,50.0,50.0,50.0,50.0,2.0,30.76
29.95,50.0,50.0,50.0,50.0,3.0,31.34
29.95,50.0,50.0,50.0,50.0,4.0,31.95
30.76,50.0,50.0,50.0,50.0,1.0,30.76
30.76,50.0,50.0,50.0,50.0,2.0,31.34
30.76,50.0,50.0,50.0,50.0,3.0,31.95
30.76,50.0,50.0,50.0,50.0,4.0,32.56
31.34,50.0,50.0,50.0,50.0,1.0,31.34
31.34,50.0,50.0,50.0,50.0,2.0,31.95
31.34,50.0,50.0,50.0,50.0,3.0,32.56
31.34,50.0,50.0,50.0,50.0,4.0,33.14
31.95,50.0,50.0,50.0,50.0,1.0,31.95
31.95,50.0,50.0,50.0,50.0,2.0,32.56
31.95,50.0,50.0,50.0,50.0,3.0,33.14
31.95,50.0,50.0,50.0,50.0,4.0,33.79
32.56,50.0,50.0,50.0,50.0,1.0,32.56
32.56,50.0,50.0,50.0,50.0,2.0,33.14
32.56,50.0,50.0,50.0,50.0,3.0,33.79
32.56,50.0,50.0,50.0,50.0,4.0,34.43
33.14,50.0,50.0,50.0,50.0,1.0,33.14
33.14,50.0,50.0,50.0,50.0,2.0,33.79
33.14,50.0,50.0,50.0,50.0,3.0,34.43
33.14,50.0,50.0,50.0,50.0,4.0,35.01
33.79,50.0,50.0,50.0,50.0,1.0,33.79
33.79,50.0,50.0,50.0,50.0,2.0,34.43
33.79,50.0,50.0,50.0,50.0,3.0,35.01
33.79,50.0,50.0,50.0,50.0,4.0,35.46
34.43,50.0,50.0,50.0,50.0,1.0,34.43
34.43,50.0,50.0,50.0,50.0,2.0,35.01
34.43,50.0,50.0,50.0,50.0,3.0,35.46
34.43,50.0,50.0,50.0,50.0,4.0,36.04
35.01,50.0,50.0,50.0,50.0,1.0,35.01
35.01,50.0,50.0,50.0,50.0,2.0,35.46
35.01,50.0,50.0,50.0,50.0,3.0,36.04
35.01,50.0,50.0,50.0,50.0,4.0,36.69
35.46,50.0,50.0,50.0,50.0,1.0,35.46
35.46,50.0,50.0,50.0,50.0,2.0,36.04
35.46,50.0,50.0,50.0,50.0,3.0,36.69
35.46,50.0,50.0,50.0,50.0,4.0,37.01
36.04,50.0,50.0,50.0,50.0,1.0,36.04
36.04,50.0,50.0,50.0,50.0,2.0,36.69
36.04,50.0,50.0,50.0,50.0,3.0,37.01
36.04,50.0,50.0,50.0,50.0,4.0,37.66
36.69,50.0,50.0,50.0,50.0,1.0,36.69
36.69,50.0,50.0,50.0,50.0,2.0,37.01
36.69,50.0,50.0,50.0,50.0,3.0,37.66
36.69,50.0,50.0,50.0,50.0,4.0,37.98
37.01,50.0,50.0,50.0,50.0,1.0,37.01
37.01,50.0,50.0,50.0,50.0,2.0,37.66
37.01,50.0,50.0,50.0,50.0,3.0,37.98
37.01,50.0,50.0,50.0,50.0,4.0,38.56
37.66,50.0,50.0,50.0,50.0,1.0,37.66
37.66,50.0,50.0,50.0,50.0,2.0,37.98
37.66,50.0,50.0,50.0,50.0,3.0,38.56
37.66,50.0,50.0,50.0,50.0,4.0,38.95
37.98,50.0,50.0,50.0,50.0,1.0,37.98
37.98,50.0,50.0,50.0,50.0,2.0,38.56
37.98,50.0,50.0,50.0,50.0,3.0,38.95
37.98,50.0,50.0,50.0,50.0,4.0,39.4
38.56,50.0,50.0,50.0,50.0,1.0,38.56
38.56,50.0,50.0,50.0,50.0,2.0,38.95
38.56,50.0,50.0,50.0,50.0,3.0,39.4
38.56,50.0,50.0,50.0,50.0,4.0,39.91
38.95,50.0,50.0,50.0,50.0,1.0,38.95
38.95,50.0,50.0,50.0,50.0,2.0,39.4
38.95,50.0,50.0,50.0,50.0,3.0,39.91
38.95,50.0,50.0,50.0,50.0,4.0,40.23
39.4,50.0,50.0,50.0,50.0,1.0,39.4
39.4,50.0,50.0,50.0,50.0,2.0,39.91
39.4,50.0,50.0,50.0,50.0,3.0,40.23
39.4,50.0,50.0,50.0,50.0,4.0,40.56
39.91,50.0,50.0,50.0,50.0,1.0,39.91
39.91,50.0,50.0,50.0,50.0,2.0,40.23
39.91,50.0,50.0,50.0,50.0,3.0,40.56
39.91,50.0,50.0,50.0,50.0,4.0,40.94
40.23,50.0,50.0,50.0,50.0,1.0,40.23
40.23,50.0,50.0,50.0,50.0,2.0,40.56
40.23,50.0,50.0,50.0,50.0,3.0,40.94
40.23,50.0,50.0,50.0,50.0,4.0,41.36
40.56,50.0,50.0,50.0,50.0,1.0,40.56
40.56,50.0,50.0,50.0,50.0,2.0,40.94
40.56,50.0,50.0,50.0,50.0,3.0,41.36
40.56,50.0,50.0,50.0,50.0,4.0,41.78
40.94,50.0,50.0,50.0,50.0,1.0,40.94
40.94,50.0,50.0,50.0,50.0,2.0,41.36
40.94,50.0,50.0,50.0,50.0,3.0,41.78
40.94,50.0,50.0,50.0,50.0,4.0,42.17
41.36,50.0,50.0,50.0,50.0,1.0,41.36
41.36,50.0,50.0,50.0,50.0,2.0,41.78
41.36,50.0,50.0,50.0,50.0,3.0,42.17
41.36,50.0,50.0,50.0,50.0,4.0,42.49
41.78,50.0,50.0,50.0,50.0,1.0,41.78
41.78,50.0,50.0,50.0,50.0,2.0,42.17
41.78,50.0,50.0,50.0,50.0,3.0,42.49
41.78,50.0,50.0,50.0,50.0,4.0,42.81
42.17,50.0,50.0,50.0,50.0,1.0,42.17
42.17,50.0,50.0,50.0,50.0,2.0,42.49
42.17,50.0,50.0,50.0,50.0,3.0,42.81
42.17,50.0,50.0,50.0,50.0,4.0,43.07
42.49,50.0,50.0,50.0,50.0,1.0,42.49
42.49,50.0,50.0,50.0,50.0,2.0,42.81
42.49,50.0,50.0,50.0,50.0,3.0,43.07
42.49,50.0,50.0,50.0,50.0,4.0,43.39
42.81,50.0,50.0,50.0,50.0,1.0,42.81
42.81,50.0,50.0,50.0,50.0,2.0,43.07
42.81,50.0,50.0,50.0,50.0,3.0,43.39
42.81,50.0,50.0,50.0,50.0,4.0,43.71
43.07,50.0,50.0,50.0,50.0,1.0,43.07
43.07,50.0,50.0,50.0,50.0,2.0,43.39
43.07,50.0,50.0,50.0,50.0,3.0,43.71
43.07,50.0,50.0,50.0,50.0,4.0,43.78
43.39,50.0,50.0,50.0,50.0,1.0,43.39
43.39,50.0,50.0,50.0,50.0,2.0,43.71
43.39,50.0,50.0,50.0,50.0,3.0,43.78
43.39,50.0,50.0,50.0,50.0,4.0,44.13
43.71,50.0,50.0,50.0,50.0,1.0,43.71
43.71,50.0,50.0,50.0,50.0,2.0,43.78
43.71,50.0,50.0,50.0,50.0,3.0,44.13
43.71,50.0,50.0,50.0,50.0,4.0,44.42
43.78,50.0,50.0,50.0,50.0,1.0,43.78
43.78,50.0,50.0,50.0,50.0,2.0,44.13
43.78,50.0,50.0,50.0,50.0,3.0,44.42
43.78,50.0,50.0,50.0,50.0,4.0,44.75
44.13,50.0,50.0,50.0,50.0,1.0,44.13
44.13,50.0,50.0,50.0,50.0,2.0,44.42
44.13,50.0,50.0,50.0,50.0,3.0,44.75
44.13,50.0,50.0,50.0,50.0,4.0,45.04
44.42,50.0,50.0,50.0,50.0,1.0,44.42
44.42,50.0,50.0,50.0,50.0,2.0,44.75
44.42,50.0,50.0,50.0,50.0,3.0,45.04
44.42,50.0,50.0,50.0,50.0,4.0,45.2
44.75,50.0,50.0,50.0,50.0,1.0,44.75
44.75,50.0,50.0,50.0,50.0,2.0,45.04
44.75,50.0,50.0,50.0,50.0,3.0,45.2
44.75,50.0,50.0,50.0,50.0,4.0,45.39
45.04,50.0,50.0,50.0,50.0,1.0,45.04
45.04,50.0,50.0,50.0,50.0,2.0,45.2
45.04,50.0,50.0,50.0,50.0,3.0,45.39
45.04,50.0,50.0,50.0,50.0,4.0,45.71
45.2,50.0,50.0,50.0,50.0,1.0,45.2
45.2,50.0,50.0,50.0,50.0,2.0,45.39
45.2,50.0,50.0,50.0,50.0,3.0,45.71
45.2,50.0,50.0,50.0,50.0,4.0,45.84
45.39,50.0,50.0,50.0,50.0,1.0,45.39
45.39,50.0,50.0,50.0,50.0,2.0,45.71
45.39,50.0,50.0,50.0,50.0,3.0,45.84
45.39,50.0,50.0,50.0,50.0,4.0,46.04
45.71,50.0,50.0,50.0,50.0,1.0,45.71
45.71,50.0,50.0,50.0,50.0,2.0,45.84
45.71,50.0,50.0,50.0,50.0,3.0,46.04
45.71,50.0,50.0,50.0,50.0,4.0,46.23
45.84,50.0,50.0,50.0,50.0,1.0,45.84
45.84,50.0,50.0,50.0,50.0,2.0,46.04
45.84,50.0,50.0,50.0,50.0,3.0,46.23
45.84,50.0,50.0,50.0,50.0,4.0,46.36
46.04,50.0,50.0,50.0,50.0,1.0,46.04
46.04,50.0,50.0,50.0,50.0,2.0,46.23
46.04,50.0,50.0,50.0,50.0,3.0,46.36
46.04,50.0,50.0,50.0,50.0,4.0,46.68
46.23,50.0,50.0,50.0,50.0,1.0,46.23
46.23,50.0,50.0,50.0,50.0,2.0,46.36
46.23,50.0,50.0,50.0,50.0,3.0,46.68
46.23,50.0,50.0,50.0,50.0,4.0,46.87
46.36,50.0,50.0,50.0,50.0,1.0,46.36
46.36,50.0,50.0,50.0,50.0,2.0,46.68
46.36,50.0,50.0,50.0,50.0,3.0,46.87
46.36,50.0,50.0,50.0,50.0,4.0,47.03
46.68,50.0,50.0,50.0,50.0,1.0,46.68
